Item,Quantity,Total price+Shipping,Use In project,Item Source
General,,,,
Display,x1,$64.19,displays,https://www.ebay.com/itm/145841358470?
m3 hardware kit,x1,$7.99,Mount most things,https://www.amazon.com/Hincell-540pcs-Button-Washers-Stainless/dp/B0D1CV8V9Y?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A8FI3NPCLLLAU&gQT=2&th=1
m2.5 4mm,x1,$1.86,mount the pis if you use them,https://www.aliexpress.us/item/3256805692588351.html?spm=a2g0o.productlist.main.9.70f8PGXgPGXgES&algo_pvid=f41aab01-f6bc-4ebf-8b6a-e709e2d91d9e&algo_exp_id=f41aab01-f6bc-4ebf-8b6a-e709e2d91d9e-8&pdp_ext_f=%7B%22order%22%3A%22141%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.63%212.63%21%21%212.63%212.63%21%402101c67a17493315079284241e4c88%2112000034678326960%21sea%21US%214381910819%21X&curPageLogUid=wPZG0AeXcYEt&utparam-url=scene%3Asearch%7Cquery_from%3A
18awg wire,x1,$13.76,most wiring,https://www.amazon.com/Nilight-Electrical-Conductor-Extension-Amplifier/dp/B0CYZPW42Q?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=ATVPDKIKX0DER&gQT=1&th=1
28awg wire,x1,$7.99,Usb wiring,https://www.amazon.com/Fermerry-Stranded-Silicone-Cables-Electrical/dp/B089CR4SDM?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=AMHYOXF0C8EDF&gQT=1&th=1
12awg wire,x1,$3.94,Battery wires,https://www.aliexpress.us/item/3256807129117447.html?spm=a2g0o.productlist.main.3.7ab0a156NrdRf6&algo_pvid=3e03f551-26de-40a9-8a5d-b5bc81856425&algo_exp_id=3e03f551-26de-40a9-8a5d-b5bc81856425-2&pdp_ext_f=%7B%22order%22%3A%223673%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%216.91%213.94%21%21%2149.31%2128.11%21%402101c5b117493323478534303ed134%2112000040296899199%21sea%21US%214381910819%21X&curPageLogUid=HZUS3mRJr7EU&utparam-url=scene%3Asearch%7Cquery_from%3A
Filament,x1,20$,be every printed part,Idk wherever you get filament
Nickel Strip,x1,$5.69,build batteries,https://www.amazon.com/MECCANIXITY-Nickel-Battery-Soldering-Welding/dp/B0CVXLLGCQ?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1NR50YASSZD11&gQT=1&th=1
Magnetic Connectors,x1,$3.67,Connect usb to compute,https://www.aliexpress.us/item/3256805098127227.html?spm=a2g0o.productlist.main.5.2ae010ecQ0TgsU&algo_pvid=55902741-ef7a-41f4-bcef-df4c2733f685&algo_exp_id=55902741-ef7a-41f4-bcef-df4c2733f685-4&pdp_ext_f=%7B%22order%22%3A%22273%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.53%213.53%21%21%2125.20%2125.20%21%402101d9ef17496563895162555efc36%2112000046387602811%21sea%21US%214381910819%21X&curPageLogUid=tgn8R5EbU7zs&utparam-url=scene%3Asearch%7Cquery_from%3A
,,$129.09,,
Keyboard Parts,,,,
Pi pico,x1,$4,drive the keyboard,Raspberry Pi Pico RP2040
Keyboard pcb,x5,$35.47,Be a keyboard pcb,JLCPCB
Gateron Red,x100,$34.40,Be switches,https://www.aliexpress.us/item/3256805905674117
Keycaps,x80,$14.16,Be keycaps,https://www.aliexpress.us/item/3256807292808339.html?
Shipping,,$6.99,,
Total,,$95,,
,,,,
Battery Module 2p4s,,,,
DC-DC converter,x2,$10.60,Convert the battery voltage to 12v/5v,https://www.dfrobot.com/product-2599.html
18650s ,x8,$29.28,be batteries,https://www.18650batterystore.com/products/samsung-25r-18650?variant=37119890063511
Bms,x1,$1.75,be a bms for the batteries,https://www.aliexpress.us/item/
RA11131121,x1,$0.69,power switch,https://www.mouser.com/ProductDetail/E-Switch/RA11131121?qs=QtyuwXswaQhes8SRTBHYHQ%3D%3D&mgh=1&gQT=1
373,x1,$0.95,charger,https://www.mouser.com/ProductDetail/Adafruit/373?qs=GURawfaeGuDDC%2FyE6Usrdw%3D%3D
Total,,$43.27,,
Battery Module 4s1p,,,,
DC-DC converter,x2,$10.60,Convert the battery voltage to 12v/5v,https://www.dfrobot.com/product-2599.html
18650s ,x4,$18.59,be batteries,https://www.18650batterystore.com/products/samsung-25r-18650?variant=37119890063511
Bms,x1,$1.75,be a bms for the batteries,https://www.aliexpress.us/item/
RA11131121,x1,$1.06,power switch,https://www.aliexpress.us/item/3256808591861621.html?spm=a2g0o.productlist.main.4.bbaa3f0amP9fEs&aem_p4p_detail=202506110835012802225516499430001432280&algo_pvid=22d13a10-315a-4e88-a7fb-5fc6e3a68f98&algo_exp_id=22d13a10-315a-4e88-a7fb-5fc6e3a68f98-3&pdp_ext_f=%7B%22order%22%3A%22115%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.08%211.06%21%21%2114.86%217.57%21%402101c67a17496561013444578ee284%2112000046629830173%21sea%21US%214381910819%21X&curPageLogUid=AIpxTC6KBWSG&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506110835012802225516499430001432280_1
Total,,$32.00,,
,,,,
,,,,
Pi zero 2 w compute,,,,
pi zero 2 w,x1,$23.00,Main computer,https://www.adafruit.com/product/5291
mini hdmi to hdmi adapter,x1,$6.99,adapt the hdmi,https://www.amazon.com/Micro-Adapter-Female-Support-Raspberry/dp/B09HS74STL?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1NY347U90KP9S&gQT=1
Pi cooler and usb hub ,x1,$9.99,Cool the pi and breakout usb,https://www.amazon.com/Raspberry-iUniker-Aluminum-Passive-Adapter/dp/B09XK36QNB/140-2177712-4060064?pd_rd_w=vyCyv&content-id=amzn1.sym.4c8c52db-06f8-4e42-8e56-912796f2ea6c&pf_rd_p=4c8c52db-06f8-4e42-8e56-912796f2ea6c&pf_rd_r=MV80K33AW3WARSHK5YW9&pd_rd_wg=EWgEt&pd_rd_r=25190511-4df9-42d1-908e-41de3ecdd1ec&pd_rd_i=B09XK36QNB&psc=1
Total,,$39.98,,
,,,,
,,,,
Pi 5 Compute,,,,
Pi 5 8gb,x1,$96.98,main computer,https://www.pishop.us/product/raspberry-pi-5-8gb/?searchid=0&search_query=pi+5
Micro HDMI to Standard HDMI ,x1,$4.25,hdmi adapter,https://www.pishop.us/product/micro-hdmi-to-standard-hdmi-adapter-white/
Cooler,x1,$8.95,cool the pi,https://www.pishop.us/product/dedicated-all-in-one-aluminum-cooler-for-raspberry-pi-5-pwm/?searchid=0&search_query=pi5+cooler
Total,,$110.18,,
,,,,
Lattepanda Mu Compute,,,,
Lattepanda Mu with lite carrier and active cooler,x1,$220.00,main computer,https://www.dfrobot.com/kit-004.html
Total,,$220.00,,
